Orbital Period (days),Transit Duration (hours),Planetary Radius (Earth radii),Stellar Radius (Solar radii),Impact Parameter,Transit Depth (ppm),Stellar Temperature (K),Signal to Noise Ratio,Disposition
365.25,13.0,1.0,1.0,0.1,14230.9,5820,1339.0,CANDIDATE
224.7,11.0,0.95,0.8,0.2,0.014,5200,45.2,FALSE POSITIVE
387.0,15.0,0.53,0.6,0.05,0.0078,4800,12.8,CANDIDATE
12.5,2.5,1.2,0.9,0.3,0.012,6100,89.3,FALSE POSITIVE
89.3,8.7,0.8,1.1,0.15,0.009,5500,67.4,CANDIDATE
145.2,6.8,1.5,0.7,0.25,0.018,4900,156.7,CANDIDATE
267.8,10.2,0.9,1.2,0.4,0.011,5300,78.9,FALSE POSITIVE
45.6,4.3,0.7,0.8,0.35,0.008,5100,34.2,FALSE POSITIVE
198.4,9.1,1.3,1.0,0.2,0.016,5600,98.5,CANDIDATE
78.9,5.6,0.6,0.9,0.1,0.007,5200,23.7,FALSE POSITIVE
321.7,12.4,1.1,1.1,0.3,0.013,5400,112.3,CANDIDATE
156.3,7.9,0.8,0.8,0.45,0.010,5000,56.8,FALSE POSITIVE
89.2,3.2,1.4,1.3,0.15,0.017,5800,145.6,CANDIDATE
234.5,8.8,0.9,0.9,0.25,0.012,5300,89.7,CANDIDATE
67.8,4.7,0.7,1.0,0.4,0.009,5100,42.1,FALSE POSITIVE
123.4,6.5,1.2,0.85,0.2,0.014,5450,78.3,CANDIDATE
456.7,18.2,0.8,0.7,0.1,0.011,4800,67.9,CANDIDATE
34.2,2.8,1.6,1.4,0.3,0.019,6200,198.4,CANDIDATE
178.9,8.3,0.9,1.1,0.35,0.010,5400,56.2,FALSE POSITIVE
92.1,5.1,1.1,0.9,0.25,0.013,5200,89.7,CANDIDATE
